Species,Treatment,Sample,10:00,11:00,12:00,13:00,14:00,14:1n-9,15:00,15:1n-2,16:00,16:1n-7,17:00,18:00,18:1n-9,18:2n-6,18:3n-3,19:00,20:00,20:2n-6,20:3n-3,20:3n-6,20:4n-6,20:4n-7,20:5n-3,21:00,22:00,22:1n-9,22:2n-6,22:4n-6,22:5n-3,22:6n-3,23:00,24:00:00,24:1n-9,25:00:00,26:00:00,28:00:00,29:00:00,30:00:00
Common eelgrass (Zostera marina),Healthy,ZH_001,9.20E+04,2.80E+04,3.00E+05,9.20E+04,2.20E+06,3.10E+05,9.80E+05,3.00E+05,1.50E+08,1.10E+07,1.50E+06,2.40E+08,3.60E+07,1.45E+07,9.83E+06,1.40E+06,1.30E+07,3.10E+05,2.70E+05,3.80E+05,5.20E+06,5.00E+06,3.00E+07,5.60E+05,1.90E+07,2.50E+06,2.90E+05,3.80E+05,7.00E+05,6.54E+02,3.80E+06,2.70E+05,9.30E+05,3.60E+06,2.10E+05,1.80E+05,5.70E+05,1.50E+06
Common eelgrass (Zostera marina) and seagrass wasting disease (Labyrinthula zosterae),Wasting disease,ZWD_002,4.80E+04,0,3.10E+05,8.10E+04,1.10E+06,1.20E+05,6.70E+05,1.80E+05,8.10E+07,3.40E+06,2.30E+05,1.50E+08,1.20E+07,5.40E+06,8.33E+06,5.10E+05,9.30E+06,1.30E+05,6.70E+04,1.10E+05,1.20E+06,1.20E+06,6.90E+06,9.20E+05,1.30E+07,5.30E+05,1.10E+05,9.10E+04,2.40E+05,1.05E+07,2.00E+06,1.50E+05,3.30E+05,1.30E+06,6.50E+04,5.40E+04,1.40E+05,4.00E+05
Caspian tern (Hydroprogne caspia),Healthy meadow,HM1_003,3.90E+05,2.80E+05,8.00E+05,5.40E+05,2.90E+07,1.50E+06,1.70E+07,4.40E+06,7.20E+08,1.90E+08,7.20E+07,8.40E+08,1.40E+09,2.31E+08,7.52E+07,1.10E+08,2.90E+08,9.80E+07,1.30E+07,5.70E+07,4.60E+08,4.00E+08,8.40E+08,9.50E+07,2.70E+08,1.00E+09,1.30E+08,2.60E+07,1.50E+08,2.60E+06,1.20E+08,3.30E+06,1.50E+09,4.40E+07,2.50E+05,1.00E+05,4.40E+05,1.10E+06
Caspian tern (Hydroprogne caspia),Healthy meadow,HM2_004,2.50E+05,3.20E+05,1.20E+06,9.30E+05,4.90E+07,3.70E+06,2.20E+07,6.90E+06,8.20E+08,3.60E+08,5.80E+07,8.10E+08,1.70E+09,2.79E+08,5.22E+07,7.40E+07,2.10E+08,9.90E+07,3.20E+06,4.60E+07,3.90E+08,3.40E+08,7.70E+08,7.80E+07,2.80E+08,1.70E+09,1.30E+08,3.10E+07,1.30E+08,1.76E+09,1.00E+08,4.60E+06,1.80E+09,3.80E+07,4.40E+05,1.50E+07,3.30E+06,8.00E+06
Caspian tern (Hydroprogne caspia),Healthy meadow,HM3_005,3.60E+05,2.00E+05,1.40E+06,1.20E+06,4.60E+07,3.80E+06,2.20E+07,1.60E+07,9.10E+08,3.80E+08,8.60E+07,1.10E+09,1.50E+09,3.30E+08,1.50E+08,8.80E+07,2.50E+08,1.40E+08,6.60E+06,1.10E+08,1.10E+09,8.50E+08,1.90E+09,9.90E+07,3.80E+08,1.10E+09,2.40E+08,8.50E+07,4.50E+08,1.49E+09,1.50E+08,8.40E+06,1.70E+09,6.00E+07,4.80E+05,2.10E+07,4.20E+06,1.00E+07
Caspian tern (Hydroprogne caspia),Healthy meadow,HM4_006,2.50E+08,0,0,3.70E+06,4.30E+05,1.10E+07,6.60E+06,3.40E+07,1.40E+07,1.50E+08,1.40E+09,1.40E+07,9.70E+06,6.20E+08,2.06E+08,4.90E+08,1.80E+08,4.60E+08,7.50E+08,6.20E+07,7.10E+09,3.80E+08,9.40E+09,3.70E+10,6.90E+05,6.30E+08,5.10E+09,3.30E+09,8.50E+08,3.70E+09,4.30E+10,1.20E+08,3.90E+06,3.20E+09,3.00E+07,0,0,2.70E+06
Marbled godwit (Limosa fedoa),Mudflat,MF6_007,3.60E+04,8.80E+04,4.30E+05,1.40E+05,4.60E+06,1.50E+05,1.50E+06,2.90E+05,1.10E+08,2.70E+07,3.30E+06,1.10E+08,1.90E+08,1.91E+07,7.18E+06,8.10E+05,4.50E+06,7.20E+06,1.20E+05,2.80E+06,5.80E+07,5.10E+07,4.60E+08,6.40E+05,3.30E+06,2.00E+07,1.80E+06,1.90E+06,1.70E+07,4.30E+09,1.30E+06,4.80E+04,3.60E+07,4.70E+05,1.40E+04,1.20E+04,8.20E+04,2.20E+05
Marbled godwit (Limosa fedoa),Mudflat,MF7_008,4.40E+04,1.10E+05,6.30E+05,2.10E+05,7.00E+06,2.40E+05,3.00E+06,6.70E+05,2.00E+08,6.50E+07,1.10E+06,1.60E+08,1.60E+08,2.77E+07,1.31E+07,1.30E+06,7.00E+06,5.60E+06,6.00E+05,5.40E+06,1.20E+08,9.60E+07,4.20E+08,1.20E+06,6.30E+06,2.40E+07,3.00E+06,3.80E+06,3.30E+07,6.90E+08,1.90E+06,1.30E+05,4.20E+07,1.20E+06,1.90E+04,9.00E+04,7.60E+05,1.80E+06
Marbled godwit (Limosa fedoa),Mudflat,MF8_009,1.10E+05,1.50E+04,2.60E+05,1.20E+05,2.00E+06,1.40E+05,1.10E+06,4.00E+05,1.00E+08,3.10E+07,4.20E+06,1.90E+08,1.10E+07,1.46E+08,1.90E+07,7.60E+06,1.10E+07,2.80E+06,1.50E+05,1.40E+06,1.10E+08,2.10E+08,5.50E+08,1.60E+06,1.30E+07,1.10E+07,8.60E+06,1.90E+07,6.50E+07,6.20E+08,2.40E+06,9.40E+04,1.90E+06,5.50E+05,2.80E+04,9.60E+03,1.10E+05,2.80E+05
Marbled godwit (Limosa fedoa),Mudflat,MF9_010,3.50E+04,9.70E+04,4.70E+05,1.00E+05,6.50E+06,3.30E+05,2.90E+06,8.20E+05,1.40E+08,6.60E+07,7.60E+06,1.90E+08,2.30E+08,4.90E+07,3.91E+07,2.20E+07,2.80E+07,3.90E+07,1.90E+06,2.70E+07,1.90E+08,1.60E+08,8.10E+08,7.70E+06,7.50E+07,3.40E+07,8.10E+07,3.40E+07,9.50E+07,1.03E+09,8.80E+06,2.30E+05,3.10E+07,1.50E+06,2.20E+04,2.60E+04,2.10E+05,4.50E+05
