,,,,,,,,Common eelgrass (Zostera marina),Common eelgrass (Zostera marina) and seagrass wasting disease (Labyrinthula zosterae),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Great egret (Ardea alba),Whimbrel (Numenius phaeopus),Willet (Tringa semipalmata),Great egret (Ardea alba),Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Semipalmated plover (Charadrius semipalmatus),Semipalmated plover (Charadrius semipalmatus),Unknown sandpiper (Calidris spp.?),Unknown bird,NA (EtOH field blank),,,,,,,,
,,,,,,,,Healthy,Wasting disease,Healthy meadow,Healthy meadow,Healthy meadow,Healthy meadow,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Healthy meadow,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Healthy meadow,Healthy meadow,Healthy meadow,Healthy meadow,Blank,,,,,,,,
identifier,annotation,Formula,Exact mass,Super class,Main class,Sub class,m/z,ZH_001,ZWD_002,HM1_003,HM2_004,HM3_005,HM4_006,MF6_007,MF7_008,MF8_009,MF9_010,MF10_011,MF11_012,HM12_013,MF13_014,MF14_015,MF15_016,MF16_017,MF17_018,MF18_019,MF19_020,MF20_021,MF21_022,HM22_023,HM23_024,HM24_025,HM25_026,Control_027,Blank,Blank,Blank,Blank,Pool,Pool,Pool,Pool
0.17_141.07,imidazolepropionic acid,C6H8N2O2,140.0586,Alkaloids,Histidine alkaloids,Imidazole alkaloids,141.0656,9.50E+04,5.00E+04,8.20E+04,1.40E+05,4.60E+05,2.30E+05,1.90E+05,8.30E+04,2.30E+05,2.50E+05,4.10E+04,1.30E+05,1.70E+06,4.20E+05,6.00E+04,1.70E+05,3.80E+05,2.90E+05,7.00E+05,1.50E+05,1.10E+05,2.10E+05,8.10E+05,2.10E+05,7.40E+04,2.10E+07,2.10E+04,6.70E+03,2.00E+04,7.60E+03,2.40E+04,4.80E+05,3.50E+05,4.40E+05,4.30E+05
0.18_121.04,urocanic acid,C6H6N2O2,138.0429,Alkaloids,Histidine alkaloids,Imidazole alkaloids,121.0402,3.70E+04,7.30E+04,9.10E+04,9.30E+04,8.30E+04,3.80E+05,2.20E+05,8.10E+05,6.20E+04,5.60E+04,8.50E+04,1.30E+05,2.80E+04,2.10E+03,8.30E+04,1.30E+04,7.00E+04,2.80E+04,5.20E+04,2.20E+04,3.50E+04,3.20E+05,5.20E+04,5.80E+04,4.30E+04,4.60E+04,2.60E+04,2.60E+04,7.40E+04,3.30E+04,2.70E+04,5.50E+04,1.20E+05,7.60E+04,2.90E+04
0.17_182.05,4-pyridoxic acid,C8H9NO4,183.0532,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,182.0458,na,na,5.10E+05,1.10E+06,1.00E+06,9.90E+07,1.50E+05,2.10E+06,5.70E+04,na,6.10E+05,3.60E+05,2.00E+05,4.30E+05,na,1.80E+05,2.60E+04,2.50E+04,1.80E+05,4.90E+05,1.80E+05,5.60E+05,1.40E+06,5.70E+04,2.10E+04,1.80E+05,1.20E+04,na,3.80E+03,4.30E+03,5.50E+03,7.40E+03,1.70E+05,2.00E+05,2.00E+05
0.16_138.03,6-hydroxynicotinic acid,C6H5NO3,139.0269,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,138.0279,2.10E+06,6.50E+06,7.20E+03,8.00E+03,3.70E+04,4.30E+06,6.70E+03,2.30E+05,7.60E+03,8.30E+04,7.90E+03,8.40E+03,1.20E+05,1.10E+04,1.80E+04,8.40E+03,4.30E+04,5.10E+04,5.70E+03,5.20E+05,2.30E+04,1.00E+04,2.60E+05,1.80E+04,1.00E+04,1.50E+06,1.40E+04,1.70E+04,2.60E+04,1.80E+04,8.10E+03,5.30E+05,5.70E+05,6.80E+05,5.80E+05
0.22_138.05,homarine,C7H7NO2,137.0477,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,138.0549,1.70E+06,9.30E+05,3.00E+06,2.40E+06,1.50E+06,2.30E+07,1.30E+08,1.00E+08,8.90E+07,4.20E+07,2.00E+05,1.30E+07,1.40E+08,2.50E+07,4.80E+05,7.50E+05,1.50E+08,4.20E+07,2.90E+07,5.50E+07,1.00E+06,2.30E+06,4.80E+07,3.80E+07,6.70E+05,3.00E+06,2.20E+05,1.10E+05,2.50E+05,5.20E+05,7.00E+05,2.90E+07,3.00E+07,3.30E+07,2.90E+07
0.17_150.05,pyridoxal,C8H9NO3,167.0582,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,150.0546,6.20E+03,1.20E+04,7.40E+03,1.40E+05,1.40E+05,2.90E+05,1.10E+06,9.70E+05,1.10E+06,8.60E+05,7.80E+04,6.40E+03,2.50E+05,2.20E+05,1.70E+05,6.90E+05,1.10E+05,4.50E+04,1.20E+06,2.00E+06,2.00E+05,7.30E+03,2.60E+05,1.40E+05,1.10E+04,1.50E+05,1.10E+04,1.10E+04,1.70E+04,1.90E+04,9.70E+03,2.00E+05,2.40E+05,2.50E+05,2.40E+05
0.16_138.09,tyramine,C8H11NO,137.0841,Alkaloids,Tyrosine alkaloids,Phenylethylamines,138.0908,1.30E+05,1.60E+05,4.20E+05,3.00E+06,3.50E+05,1.70E+07,7.30E+05,2.50E+05,3.40E+05,2.30E+05,2.00E+05,1.10E+05,2.30E+05,4.20E+04,1.60E+05,2.50E+05,5.50E+05,1.90E+05,2.00E+05,9.50E+05,1.40E+05,1.40E+05,2.40E+05,1.60E+05,1.50E+05,3.40E+05,1.70E+05,1.40E+05,1.20E+05,1.20E+05,1.40E+05,2.30E+05,2.40E+05,2.90E+05,3.80E+05
0.18_204.11,aminoantipyrine,C11H13N3O,203.105862,Azoles,Pyrazoles,Phenylpyrazoles,204.1135,2.30E+05,6.60E+04,1.90E+06,2.90E+06,3.30E+06,3.50E+07,2.50E+05,4.40E+05,1.10E+05,1.20E+05,1.90E+05,1.80E+05,9.70E+05,2.00E+06,5.80E+04,6.70E+04,6.00E+05,1.20E+05,3.60E+05,5.70E+05,1.80E+05,1.30E+05,7.00E+05,3.50E+05,3.30E+04,4.60E+05,3.90E+04,4.00E+04,9.50E+04,3.50E+04,2.50E+04,1.30E+06,1.50E+06,1.70E+06,1.50E+06
0.32_135.08,"benzamide, 4-allyloxy-3,5-dimethyl-",C12H15NO2,205.1102787,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,135.0782,2.70E+05,2.10E+05,2.10E+05,1.80E+05,7.90E+05,1.50E+06,7.00E+05,4.80E+05,7.70E+05,4.90E+05,7.50E+05,8.00E+05,6.60E+05,6.60E+05,7.90E+05,7.30E+05,8.50E+05,7.00E+05,4.20E+05,1.20E+05,7.10E+05,6.10E+05,7.30E+05,1.00E+06,5.70E+05,4.00E+05,3.80E+05,4.50E+03,4.50E+03,1.70E+03,4.80E+03,8.20E+05,6.40E+05,8.50E+05,9.10E+05
0.47_205.09,"1,4-benzenedicarboxylic acid, monobutyl ester",C12H14O4,222.0892089,Benzene and substituted derivatives,Benzoic acids and derivatives,Phthalic acid and derivatives,205.0862,na,2.20E+04,na,na,2.10E+05,5.00E+05,6.40E+04,3.00E+05,5.00E+05,2.30E+04,2.50E+04,1.30E+05,na,na,1.50E+04,2.50E+04,3.40E+04,3.90E+04,1.40E+04,na,6.30E+05,3.60E+04,1.10E+04,1.20E+04,1.30E+05,5.70E+04,1.00E+04,na,5.30E+03,3.00E+03,1.20E+03,3.10E+05,3.40E+05,3.90E+05,3.80E+05
0.33_219.17,"2,4-di-tert-butyl-6-dimethylaminomethyl-phenol",,,Benzene and substituted derivatives,Phenylpropanes,Phenylpropanes,219.174,7.90E+04,9.50E+04,1.30E+05,2.10E+05,2.10E+05,7.40E+06,2.50E+05,6.40E+04,1.50E+05,1.60E+05,8.10E+04,1.10E+05,1.40E+04,3.40E+05,1.90E+05,3.00E+04,4.50E+04,1.60E+05,1.30E+05,2.90E+05,1.20E+05,1.40E+05,7.60E+04,1.10E+05,4.60E+03,1.70E+05,7.60E+04,8.40E+04,4.50E+04,7.90E+04,5.80E+04,1.60E+05,5.00E+05,1.20E+05,3.60E+05
0.21_219.17,"2,6-bis(tert-butyl)-4-(4-morpholinylmethyl)phenol",C19H31NO2,305.2354792,Benzene and substituted derivatives,Phenylpropanes,Phenylpropanes,219.1749,2.50E+05,2.50E+05,2.30E+05,2.20E+05,1.50E+05,7.70E+06,5.90E+05,4.00E+05,4.00E+05,3.70E+05,2.20E+05,4.80E+05,1.10E+06,2.90E+05,4.40E+05,1.80E+05,2.70E+05,4.70E+05,2.60E+05,5.00E+05,1.80E+05,3.30E+05,1.10E+06,1.30E+05,7.40E+04,3.50E+05,2.30E+05,1.60E+05,2.10E+05,3.30E+05,1.10E+05,3.70E+05,5.70E+05,3.60E+05,4.30E+05
0.31_415.21_0.31_397.20_0.28_437.19,"1,3:2,4-bis-O-[(3,4-dimethylphenyl)methylene]-D-glucitol",C24H30O6,414.2042387,Benzene and substituted derivatives,Xylenes,o-Xylenes,415.2115_397.2009_437.1933,1.00E+08,6.50E+07,6.70E+07,7.30E+07,4.30E+08,1.70E+08,3.40E+08,1.60E+08,2.80E+08,1.60E+08,3.20E+08,3.30E+08,2.50E+08,3.30E+08,3.00E+08,2.90E+08,2.90E+08,2.70E+08,2.70E+08,4.50E+07,3.60E+08,2.90E+08,3.30E+08,3.20E+08,2.80E+08,1.70E+08,1.30E+08,1.10E+05,9.30E+05,2.80E+05,4.30E+05,3.40E+08,3.80E+08,3.40E+08,4.00E+08
0.43_397.20,"bis-O-[(3,4-dimethylphenyl)methylene]-D-glucitol",C24H30O6,414.2042387,Benzene and substituted derivatives,Xylenes,o-Xylenes,397.201,2.80E+04,1.30E+05,2.00E+05,2.70E+05,5.00E+05,5.20E+05,4.20E+05,2.70E+05,3.20E+05,1.70E+05,6.60E+05,5.60E+05,2.00E+05,3.80E+05,3.90E+05,1.20E+04,3.20E+05,2.90E+05,3.10E+05,2.50E+05,4.80E+05,3.90E+05,3.20E+05,3.30E+05,5.00E+05,3.80E+05,1.60E+05,na,na,na,na,8.80E+05,5.80E+03,7.80E+05,7.40E+05
